"Akkar | Aadouiye - عدوي"
"Akkar | Aaidamoun - عيدمون"
"Akkar | Aaiyat - عيات"
"Akkar | Aakkar El Attiqa - عكار العتيقة"
"Akkar | Aamara - عماره"
"Akkar | Aaouinat - العوينات"
"Akkar | Aarab Jourmnaya - جرمنايا"
"Akkar | Aarida - عريضا"
"Akkar | Aarmeh - عرمه"
"Akkar | Aarqa - عرقا"
"Akkar | Aayoun - عيون"
"Akkar | Aayoun El Ghezlane - عيون الغزلان"
"Akkar | Abde - العبده"
"Akkar | Ain Faouar - عين&nbsp;الفوار"
"Akkar | Ain Tinta - عين تنتا"
"Akkar | Ain Yaaqoub - عين يعقوب"
"Akkar | Ain er Rsas - عين الراس"
"Akkar | Ain ez Zeit - عين الزيت"
"Akkar | Akkar - عكار"
"Akkar | Akroum - اكروم"
"Akkar | Al-Massoudieh - المسعودية"
"Akkar | Amaret el Baykat - عمار البيكات"
"Akkar | Amayer - العماير"
"Akkar | Andqat - عندقت"
"Akkar | Ard es Soud - ارض السود"
"Akkar | Awade - العواده"
"Akkar | Baaliye - بعليا"
"Akkar | Baddouaa - بدويا"
"Akkar | Bajaa - بجعة"
"Akkar | Balde - بلدي"
"Akkar | Bani Sakher - بني صخر"
"Akkar | Barcha - برشا"
"Akkar | Bebnine - ببنين"
"Akkar | Beino - بينو"
"Akkar | Beit Ali Adraa - بيت علي عدرة"
"Akkar | Beit Ayoub - بيت ايوب"
"Akkar | Beit Daoud - بيت داوود"
"Akkar | Beit Ghattas - بيت غطاس"
"Akkar | Beit Khlaiyel - بيت خلايل"
"Akkar | Beit Mellat - بيت ملات"
"Akkar | Beit Younes - بيت يونس"
"Akkar | Beit el Haj - بيت الحاج"
"Akkar | Beit el Haouch - بيت الحوش"
"Akkar | Bellanet el Hissa - بلانة الحيصة"
"Akkar | Berbara - برباره"
"Akkar | Berqayel - برقايل"
"Akkar | Bezbina - بزبينا"
"Akkar | Bire Akkar - البيره عكار"
"Akkar | Borj el Arab - برج العرب"
"Akkar | Boustane El Herch - بستان الحرش"
"Akkar | Bqayaa - البقيعه"
"Akkar | Bqerzala - بقرزلا"
"Akkar | Bzaita - بزيتا"
"Akkar | Bzal - بزال"
"Akkar | Chadra - شدره"
"Akkar | Chane - شان"
"Akkar | Chaqdouf - الشقدوف"
"Akkar | Charbila - شربيلا"
"Akkar | Chattaha - شطاحة"
"Akkar | Cheik Mohammad - الشيخ محمد"
"Akkar | Cheikh Aayash - الشيخ عياش"
"Akkar | Cheikh Hmairine - شيخ حمارين"
"Akkar | Cheikh Taba  - الشيخ طابا"
"Akkar | Cheikh Taba es Sahl - الشيخ طابا السهل"
"Akkar | Cheikh Zennad Talbibe - الشيخ زناد"
"Akkar | Cheikhlar - شيخلار"
"Akkar | Chir Hmairine - شير حمارين"
"Akkar | Dabadeb - داباديب"
"Akkar | Daghle - الدغلة"
"Akkar | Dahr Aayas - ضهر عياس"
"Akkar | Dahr El Ballane - ضهر البلانه"
"Akkar | Dahr Laissineh - ضهر ليسينه"
"Akkar | Dahr el Houssain - ضهر الحسين"
"Akkar | Danke et El Amriyeh - دنكة و العامرية"
"Akkar | Daousse Baghdadi - دوسة بغدادي"
"Akkar | Darine - دارين"
"Akkar | Dayret Nahr el Kabir - دائرة النهر الكبير"
"Akkar | Deir Dalloum - دير دلوم"
"Akkar | Deir Janine - دير جنين"
"Akkar | Deir Mar Jeryos - دير مار جريس"
"Akkar | Denke - دنكي"
"Akkar | Dibbabiye - دبابية"
"Akkar | Dinbou Ain al zahab - دنبو عين الذهب"
"Akkar | Doueir Aadouiye - دوير عدويه"
"Akkar | EL Khirbe Qleiaat - الخربة قليعات"
"Akkar | Ech Cheikh Maarouf - الشيخ معروف"
"Akkar | Ed Daoura - الدوره"
"Akkar | Ed Daousse - الدوسة"
"Akkar | Ed Debbabiye el Charqiye - الدبابية الشرقية"
"Akkar | Ed Debbabiye el Gharbiye - الدبابية الغربية"
"Akkar | El Aabboudiye - العبودية"
"Akkar | El Aamriye - العمارية"
"Akkar | El Aaouaichat - العويشات"
"Akkar | El Aarida - العريضة"
"Akkar | El Aayoun - العيون"
"Akkar | El Barde - بردي"
"Akkar | El Borj Akkar - البرج عكار"
"Akkar | El Fraidis - فريديس"
"Akkar | El Ghawaya - القبيات غوايا"
"Akkar | El Haissa - الحيصة"
"Akkar | El Hichi - الهيشه"
"Akkar | El Houaich - الحويش"
"Akkar | El Kharnoubeh - الخرنوبه"
"Akkar | El Khirbe - الخربة"
"Akkar | El Khirbe Msalla - الخربة مصلا"
"Akkar | El Khoder - الخضر اكروم"
"Akkar | El Kneisse - الكنيسة"
"Akkar | El Kouraniye - الكورانية"
"Akkar | El Krahne - الكراهنة"
"Akkar | El Kroum - الكروم"
"Akkar | El Majdal - المجدل العماير"
"Akkar | El Majdel - المجدل عكار"
"Akkar | El Mbar kiye - المباركية"
"Akkar | El Melkiye - الملكي"
"Akkar | El Mqaiteaa - المقيطع"
"Akkar | El Qantara - القنطرة"
"Akkar | El Qatlabe - القبيات القطلبه"
"Akkar | El Qlaiaat - القليعات"
"Akkar | El Qorne - القرنة"
"Akkar | El Qsair - القصير"
"Akkar | El Rama - الرامه"
"Akkar | En Nabi Khaled - النبي خالد"
"Akkar | Er Ransiye - الرانسية"
"Akkar | Er Rouaime - الرويمة"
"Akkar | Es Sayeh - السايح"
"Akkar | Es Souaisse - السويسة"
"Akkar | Ez Zouq - الذوق"
"Akkar | Fard - الفرض"
"Akkar | Fnaideq - فنيدق"
"Akkar | Fsiqine et Ain Echma - فسقين و عين اشما"
"Akkar | Ghzaile - الغزيله"
"Akkar | Habchit - حبشيت"
"Akkar | Haider - حيدر"
"Akkar | Haitla - هيتلا"
"Akkar | Haizouq - حيزوق"
"Akkar | Halba - حلبا"
"Akkar | Haouch - حوش"
"Akkar | Haouchab - هوشب"
"Akkar | Haret Beit Kessab - حارة بيت كساب"
"Akkar | Haret ej Jdide - حارة الجديدة"
"Akkar | Haret ej Jdide Mqaiteaa - حارة الجديدة المقيطع"
"Akkar | Hedd - الهد"
"Akkar | Hikr Janine - حكر جنين"
"Akkar | Hissa - الحيصا"
"Akkar | Hmaireh Aakkar - الحميرة"
"Akkar | Hmais - حميص"
"Akkar | Hnaider - حنيدر"
"Akkar | Hokr El Mahmoudiye - حكر المحمودية"
"Akkar | Hokr Etti - حكر قتة"
"Akkar | Hokr Jouret Srar - حكر جورة سرار"
"Akkar | Hokr ech Cheikh Taba - حكر الشيخ طابا"
"Akkar | Hokr ed Dahri - حكر الضاهري"
"Akkar | Hokr el Kousse - حكر الكوسا"
"Akkar | Hrar - حرار"
"Akkar | Idbil - عدبل"
"Akkar | Ilat - ايلات"
"Akkar | Janine - جنين"
"Akkar | Jdaidet Ej Joumeh - جديدة الجومه"
"Akkar | Jdeide - جديدة"
"Akkar | Jdeidet El Qaitaa - جديدة القيطع"
"Akkar | Jebrayel - جبرائيل"
"Akkar | Jichet Aali Houssein - جيشة علي حسين"
"Akkar | Jouret Srar - جورة سرار"
"Akkar | Kafr El Ftouh - كفر الفتوح"
"Akkar | Kafroun - كفرون"
"Akkar | Kalkha - كلخا"
"Akkar | Karm Zebdine - كرم زبدين"
"Akkar | Karm el Aasfour - كرم عصفور"
"Akkar | Kawashra - الكواشرة"
"Akkar | Kfar Harra - كفرحره"
"Akkar | Kfar Melki - كفرملكي"
"Akkar | Kfar Noun - كفرنون"
"Akkar | Kfartoun - كفرتون"
"Akkar | Khalsa - خالصة"
"Akkar | Khane Hayat - خان الحيات"
"Akkar | Khat Petrol - خط البترول"
"Akkar | Khirbet Char - خربة شار"
"Akkar | Khirbet Daoud - خربة داوود"
"Akkar | Khirbet er Roummane - خربة الرمان"
"Akkar | Khirbit Ej Jord - خربة الجرد"
"Akkar | Khorab el Haiyat - خرب الحيات"
"Akkar | Khraibe Akkar - الخريبة"
"Akkar | Khreibet ej Jindi - خريبة الجندي"
"Akkar | Knaisse Hnaider - كنيسة هنيدر"
"Akkar | Knisseh - كنيسة"
"Akkar | Kouikhat - الكويخات"
"Akkar | Kousha - كوشا"
"Akkar | Kroum el Arab - كروم العرب"
"Akkar | Machha - مشحة"
"Akkar | Machta Hammoud - مشتى حمود"
"Akkar | Machta Hassan - مشتى حسن"
"Akkar | Mahmoudiye - المحمودية"
"Akkar | Majdla - مجدلا"
"Akkar | Mar Lia Hdare - مار ليا حدار"
"Akkar | Mar Sahllita - مار شليطا"
"Akkar | Mar Touma - مار توما"
"Akkar | Marlayet Haddara - مارليات حدارا"
"Akkar | Marlayet Melhem - مار ليا ملحم"
"Akkar | Martmoura - القبيات مرتموره"
"Akkar | Mazraat Al Balde - مزرعة بلدة"
"Akkar | Mechaeilha Hakour - مشيلحة الحاكور"
"Akkar | Mechmech - مشمش"
"Akkar | Meghraq - المغراق"
"Akkar | Meghraqa - مغراقا"
"Akkar | Memnaa - ممنع"
"Akkar | Mhamra - المحمرة"
"Akkar | Mhatat Siket el Hadid - محطة سكة الحديد"
"Akkar | Minyara - منيارة"
"Akkar | Mouanse - المونسه"
"Akkar | Mounjez - منجز"
"Akkar | Mqaible - المقيبلة"
"Akkar | Mqaitaa - مقيطع السماكلي"
"Akkar | Mrah Aakkar - مراه عكار"
"Akkar | Mrah Al Khawkh - مراح الخوخ"
"Akkar | Mrah Qamar ed Dine - مراح قمر الدين"
"Akkar | Mrah el Aainouni - مراه العينوني"
"Akkar | Mrah el Bsatine - مراح البساتين"
"Akkar | Msalla - مصلا"
"Akkar | Mzeihmeh - مزيحمة"
"Akkar | Nabaa el Ghzaile - نبع الغزيلة"
"Akkar | Nahr El Bared - نهر البارد"
"Akkar | Nahriye - النهريه"
"Akkar | Nassriye - ناصرية"
"Akkar | Nfaisseh - النفيسة"
"Akkar | Noura - النوره"
"Akkar | Noura el Faouqa et el Tahta - نورا الفوقا و التحتى"
"Akkar | Noura el Tahta - نورا التحتا"
"Akkar | Ouadi Ej jamous - وادي الجاموس"
"Akkar | Qaabrine - قعبرين"
"Akkar | Qabaait - قبعيت"
"Akkar | Qanbar - القنبر"
"Akkar | Qarha Akkar - قرحه عكار"
"Akkar | Qarqaf - القرقف"
"Akkar | Qbaiyat el Gharbiye - القبيات الغربية"
"Akkar | Qbaiyat ez Zouq - القبيات الذوق"
"Akkar | Qboula - قبولا"
"Akkar | Qbour El Bid - قبور البيد"
"Akkar | Qinye - قنية"
"Akkar | Qloud El-Baqieh - قلود الباقية"
"Akkar | Qochloq - قشلق"
"Akkar | Qoubaiyat - القبيات"
